,_runtime,_step,_timestamp,classification_loss,epoch,loss,regression_loss
0,3964.702393054962,0,1574976355.3990502,0.3224969208240509,0,1.388093092430453,1.0655957460403442
1,7945.2784740924835,1,1574980335.9751265,0.23344983160495758,1,1.1857882572816072,0.9523367285728455
2,11873.101462841034,2,1574984263.7981157,0.20429877936840057,2,1.0939474710894204,0.8896490335464478
3,15798.532472848892,3,1574988189.2291272,0.18830259144306183,3,1.04309051428323,0.8547884821891785
4,19822.523996591568,4,1574992213.2206683,0.17769896984100342,4,1.0046391355246056,0.8269400596618652
5,23811.555116176605,5,1574996202.2517655,0.16730044782161713,5,0.9555680570255601,0.7882671356201172
6,27792.93208360672,6,1575000183.6287367,0.15735410153865814,6,0.9164341906073925,0.7590792775154114
7,31781.838019132614,7,1575004172.5346706,0.1519119143486023,7,0.8991521775872617,0.7472395300865173
8,35781.00459885597,8,1575008171.7012553,0.14257106184959412,8,0.8659856719582646,0.7234154343605042
9,39835.23752093315,9,1575012225.9341722,0.13228359818458557,9,0.8265879014604236,0.6943022608757019
10,43844.90419816971,10,1575016235.6008632,0.1351224184036255,10,0.8218396050782052,0.6867179274559021
11,47862.51920747757,11,1575020253.215861,0.12915317714214325,11,0.7935805140523963,0.6644284129142761
12,51843.41969704628,12,1575024234.1163511,0.12479311227798462,12,0.7797427904536443,0.6549501419067383
13,55839.02483558655,13,1575028229.72149,0.1194373071193695,13,0.7488414980608731,0.6294052600860596
14,59827.68715071678,14,1575032218.3838036,0.1178223043680191,14,0.7397110498085601,0.6218883991241455
15,63799.45849561691,15,1575036190.1551461,0.11438576877117157,15,0.7245880333406947,0.6102017760276794
16,67765.66774225235,16,1575040156.364392,0.1091616079211235,16,0.701038320705438,0.5918756127357483
17,71754.29615545273,17,1575044144.9928079,0.10866641998291016,17,0.6945633235863243,0.585895836353302
18,75776.2146730423,18,1575048166.911322,0.10616162419319153,18,0.6822264557869129,0.5760646462440491
19,79846.95255851746,19,1575052237.6492112,0.10399381071329117,19,0.6663538008629298,0.5623594522476196
20,83904.38646149635,20,1575056295.0831158,0.10049893707036972,20,0.6474779211804336,0.5469788908958435
21,87968.07004404068,21,1575060358.7666972,0.09712886810302734,21,0.6375867293617172,0.5404576659202576
22,91997.26070070267,22,1575064387.9573526,0.09395179152488708,22,0.6286313199784709,0.5346803665161133
23,96047.80695796013,23,1575068438.5036108,0.0934203490614891,23,0.6211376758504155,0.5277174115180969
24,100070.91787147522,24,1575072461.6145246,0.09451606124639511,24,0.6202009185614991,0.5256853103637695
25,104114.83716249466,25,1575076505.5338156,0.08987464755773544,25,0.6068303430147619,0.5169556140899658
26,108121.11529660225,26,1575080511.8119504,0.08897941559553146,26,0.5998292664640946,0.5108500123023987
27,112188.95840549469,27,1575084579.6550586,0.0888725146651268,27,0.5880534524924693,0.49918055534362793
28,116234.12590050697,28,1575088624.8225532,0.08668439090251923,28,0.5792626459084077,0.4925786554813385
29,120293.60440206528,29,1575092684.3010545,0.08213534206151962,29,0.5659045683522478,0.4837697744369507
30,124393.080991745,30,1575096783.7776494,0.08322514593601227,30,0.5675435226768359,0.48431822657585144
31,128455.39340496063,31,1575100846.0900586,0.08148328959941864,31,0.5606304955364511,0.4791466295719147
32,132438.3205704689,32,1575104829.017222,0.08025932312011719,32,0.5486548553926129,0.46839413046836853
33,136421.94999408722,33,1575108812.6466484,0.07830040901899338,33,0.5424510907661287,0.46415016055107117
34,140412.0581393242,34,1575112802.7547922,0.07771684229373932,34,0.5404019074588884,0.46268585324287415
35,144378.37300419807,35,1575116769.069657,0.07826326042413712,35,0.5353588408570477,0.45709437131881714
36,148341.6436777115,36,1575120732.3403318,0.07772525399923325,36,0.5255322387131754,0.44780704379081726
37,152368.96694278717,37,1575124759.6635911,0.07812336832284927,37,0.5261421888758139,0.44801822304725647
38,156397.50188803673,38,1575128788.1985412,0.07246515154838562,38,0.506891107989078,0.43442612886428833
39,160378.38008141518,39,1575132769.0767295,0.07383843511343002,39,0.5108958868682983,0.43705761432647705
40,164274.49245905876,40,1575136665.189116,0.07342230528593063,40,0.5033686971180715,0.4299452006816864
41,168246.51724505424,41,1575140637.2138996,0.06936958432197571,41,0.4914703264337724,0.42210084199905396
42,172256.74310994148,42,1575144647.4397628,0.07023752480745316,42,0.49019730339066275,0.4199596643447876
43,176214.11931228638,43,1575148604.8159611,0.06932595372200012,43,0.4849683490600319,0.41564300656318665
44,180203.08223724365,44,1575152593.7788932,0.06813354045152664,44,0.4821045134722198,0.4139713943004608
45,184145.31439828873,45,1575156536.0110512,0.0677121952176094,45,0.47973373520787155,0.41202035546302795
46,188074.87242293358,46,1575160465.5690763,0.07052934169769287,46,0.4824984184495785,0.41196900606155396
47,192023.67450094223,47,1575164414.3711507,0.06534125655889511,47,0.4703622678609411,0.4050203263759613
48,195957.1428129673,48,1575168347.8394809,0.06640893965959549,48,0.46915591490072145,0.40274685621261597
49,199905.0937731266,49,1575172295.790425,0.06496750563383102,49,0.46047887896861395,0.3955111801624298
50,203852.5161421299,50,1575176243.2127924,0.06335385888814926,50,0.45238307249068976,0.3890286087989807
51,207810.54330039024,51,1575180201.2399495,0.06459847092628479,51,0.45605724491309363,0.3914584219455719
52,211781.23772668839,52,1575184171.9343803,0.06300365924835205,52,0.4518771403260047,0.38887304067611694
53,215752.77501416206,53,1575188143.471673,0.07007437199354172,53,0.454057404141612,0.38398316502571106
54,219721.40430140495,54,1575192112.1009545,0.06214882805943489,54,0.4430210376597667,0.3808720111846924
